X,Y,R2
Brightness,Body,0.008088759905840459
Brightness,Aroma,0.022727455056105073
Brightness,Complexity,0.02754666134110062
Brightness,Balance,0.0022811638582680427
Brightness,Sweetness,0.08674004191914897
Brightness,Spicy,0.08337016911922612
Brightness,Chocolaty,0.016054979724883345
Brightness,Nutty,0.06300541154470951
Brightness,Buttery,0.005963557149541443
Brightness,Fruity,0.34409819584986434
Brightness,Flowery,0.0383396966229278
Brightness,Winey,0.18250464896571394
Brightness,Altitude (meters),0.1551466294728978
Body,Brightness,0.008088759905840015
Body,Aroma,0.010538878653522987
Body,Complexity,0.020826660489788873
Body,Balance,0.023663751264946797
Body,Sweetness,0.028098668637553725
Body,Spicy,0.04369548532305423
Body,Chocolaty,2.4104785546485985e-05
Body,Nutty,0.008255197115619062
Body,Buttery,0.007629261232081963
Body,Fruity,0.02180876568332868
Body,Flowery,0.023363865378203563
Body,Winey,2.8317053947235493e-05
Body,Altitude (meters),0.0022512954574801514
Aroma,Brightness,0.02272745505610474
Aroma,Body,0.010538878653523098
Aroma,Complexity,0.15080730536979137
Aroma,Balance,0.1146137368316873
Aroma,Sweetness,0.11309252421075289
Aroma,Spicy,0.0002336662113867627
Aroma,Chocolaty,0.016713451780902
Aroma,Nutty,7.618644707962918e-05
Aroma,Buttery,0.03265125864860885
Aroma,Fruity,0.0644583555433883
Aroma,Flowery,0.013327645704204527
Aroma,Winey,0.019026071720063098
Aroma,Altitude (meters),0.037659102717278126
Complexity,Brightness,0.027546661341100953
Complexity,Body,0.020826660489789206
Complexity,Aroma,0.1508073053697918
Complexity,Balance,0.04250822015027411
Complexity,Sweetness,0.04481655499933235
Complexity,Spicy,0.02253078921974372
Complexity,Chocolaty,7.494126776474985e-06
Complexity,Nutty,1.5592838984668234e-05
Complexity,Buttery,0.00204996129538515
Complexity,Fruity,0.010395980780170566
Complexity,Flowery,0.028816939426304367
Complexity,Winey,0.035698165328919784
Complexity,Altitude (meters),0.021227513765153194
Balance,Brightness,0.0022811638582683758
Balance,Body,0.02366375126494713
Balance,Aroma,0.11461373683168763
Balance,Complexity,0.04250822015027422
Balance,Sweetness,0.041271304968792055
Balance,Spicy,0.0006797062503850482
Balance,Chocolaty,0.05734637227339101
Balance,Nutty,0.008773917784387852
Balance,Buttery,0.005109133146388056
Balance,Fruity,0.039632137070662266
Balance,Flowery,0.0083860278366501
Balance,Winey,0.008026005013014537
Balance,Altitude (meters),0.007438019226735371
Sweetness,Brightness,0.08674004191914919
Sweetness,Body,0.028098668637553836
Sweetness,Aroma,0.11309252421075311
Sweetness,Complexity,0.04481655499933257
Sweetness,Balance,0.041271304968791944
Sweetness,Spicy,0.021772498747687385
Sweetness,Chocolaty,0.02651905323138093
Sweetness,Nutty,0.01715208244553057
Sweetness,Buttery,0.0014253830386518063
Sweetness,Fruity,0.07266785153692656
Sweetness,Flowery,0.016267853880249428
Sweetness,Winey,0.015613671209159019
Sweetness,Altitude (meters),0.04519981607388868
Spicy,Brightness,0.08337016911922612
Spicy,Body,0.043695485323053784
Spicy,Aroma,0.00023366621138665167
Spicy,Complexity,0.02253078921974294
Spicy,Balance,0.0006797062503846041
Spicy,Sweetness,0.02177249874768672
Spicy,Chocolaty,0.0013864744816056707
Spicy,Nutty,0.0014396443200774822
Spicy,Buttery,0.03484394401449964
Spicy,Fruity,0.08498262817033797
Spicy,Flowery,0.0007601237286137819
Spicy,Winey,0.010147573109232755
Spicy,Altitude (meters),0.03769359111383053
Chocolaty,Brightness,0.01605497972488379
Chocolaty,Body,2.410478554726314e-05
Chocolaty,Aroma,0.016713451780902777
Chocolaty,Complexity,7.4941267769190745e-06
Chocolaty,Balance,0.05734637227339112
Chocolaty,Sweetness,0.026519053231381373
Chocolaty,Spicy,0.001386474481606892
Chocolaty,Nutty,0.015854028300055445
Chocolaty,Buttery,0.0033061091013500965
Chocolaty,Fruity,0.00047234141396335083
Chocolaty,Flowery,0.02115485524212979
Chocolaty,Winey,0.009527725174740542
Chocolaty,Altitude (meters),0.011052303307018008
Nutty,Brightness,0.06300541154470907
Nutty,Body,0.008255197115618396
Nutty,Aroma,7.618644707940714e-05
Nutty,Complexity,1.5592838984113122e-05
Nutty,Balance,0.008773917784386742
Nutty,Sweetness,0.017152082445529016
Nutty,Spicy,0.0014396443200772602
Nutty,Chocolaty,0.015854028300054224
Nutty,Buttery,0.032775098927934065
Nutty,Fruity,0.09696510030314243
Nutty,Flowery,0.05516265487088079
Nutty,Winey,0.057887418043629846
Nutty,Altitude (meters),0.09346204305369277
Buttery,Brightness,0.005963557149541665
Buttery,Body,0.007629261232082296
Buttery,Aroma,0.03265125864860896
Buttery,Complexity,0.00204996129538515
Buttery,Balance,0.005109133146388056
Buttery,Sweetness,0.0014253830386514732
Buttery,Spicy,0.034843944014500416
Buttery,Chocolaty,0.0033061091013497634
Buttery,Nutty,0.03277509892793429
Buttery,Fruity,0.04736563354364487
Buttery,Flowery,0.0031497251138795646
Buttery,Winey,0.0759860857840754
Buttery,Altitude (meters),0.06252626262526984
Fruity,Brightness,0.3440981958498647
Fruity,Body,0.021808765683329345
Fruity,Aroma,0.06445835554338875
Fruity,Complexity,0.010395980780170455
Fruity,Balance,0.039632137070662266
Fruity,Sweetness,0.07266785153692656
Fruity,Spicy,0.08498262817033875
Fruity,Chocolaty,0.0004723414139631288
Fruity,Nutty,0.09696510030314331
Fruity,Buttery,0.04736563354364465
Fruity,Flowery,0.006546849540449595
Fruity,Winey,0.15201313511655923
Fruity,Altitude (meters),0.1729927241356899
Flowery,Brightness,0.038339696622928354
Flowery,Body,0.023363865378204007
Flowery,Aroma,0.01332764570420486
Flowery,Complexity,0.02881693942630481
Flowery,Balance,0.0083860278366501
Flowery,Sweetness,0.01626785388024976
Flowery,Spicy,0.000760123728614337
Flowery,Chocolaty,0.021154855242129567
Flowery,Nutty,0.0551626548708819
Flowery,Buttery,0.0031497251138796756
Flowery,Fruity,0.00654684954045015
Flowery,Winey,0.0007743238452421197
Flowery,Altitude (meters),0.059373552852010514
Winey,Brightness,0.18250464896571383
Winey,Body,2.8317053947346515e-05
Winey,Aroma,0.019026071720062765
Winey,Complexity,0.03569816532892012
Winey,Balance,0.008026005013014315
Winey,Sweetness,0.015613671209158575
Winey,Spicy,0.010147573109232755
Winey,Chocolaty,0.009527725174739765
Winey,Nutty,0.05788741804363029
Winey,Buttery,0.07598608578407562
Winey,Fruity,0.15201313511655923
Winey,Flowery,0.0007743238452418977
Winey,Altitude (meters),0.0829155055016535
Altitude (meters),Brightness,0.1551466294728976
Altitude (meters),Body,0.0022512954574801514
Altitude (meters),Aroma,0.03765910271727835
Altitude (meters),Complexity,0.021227513765153194
Altitude (meters),Balance,0.0074380192267348155
Altitude (meters),Sweetness,0.04519981607388868
Altitude (meters),Spicy,0.03769359111383075
Altitude (meters),Chocolaty,0.011052303307017453
Altitude (meters),Nutty,0.0934620430536931
Altitude (meters),Buttery,0.06252626262526972
Altitude (meters),Fruity,0.17299272413568956
Altitude (meters),Flowery,0.05937355285201018
Altitude (meters),Winey,0.08291550550165361
